passenger_rank,airport_code,city_name,state_name,average_fair,average_fair_adjusted,year,quarter
230,LYH,Lynchburg,VA,451.86,451.86,2020,1
231,LRD,Laredo,TX,417.62,417.62,2020,1
232,YUM,Yuma,AZ,453.32,453.32,2020,1
233,CPR,Casper,WY,530.16,530.16,2020,1
234,KTN,Ketchikan,AK,477.37,477.37,2020,1
235,SGU,St. George,UT,389.65,389.65,2020,1
236,MTJ,Montrose/Delta,CO,428.31,428.31,2020,1
237,FSM,Fort Smith,AR,514.46,514.46,2020,1
238,GUM,Guam,TT,"1,201.57","1,201.57",2020,1
239,ABI,Abilene,TX,541.33,541.33,2020,1
240,GRI,Grand Island,NE,293.58,293.58,2020,1
241,ACV,Arcata/Eureka,CA,467.39,467.39,2020,1
242,MHK,Manhattan/Ft. Riley,KS,524.35,524.35,2020,1
243,SPI,Springfield,IL,332.51,332.51,2020,1
244,CLL,College Station/Bryan,TX,454.10,454.10,2020,1
245,EGE,Eagle,CO,560.43,560.43,2020,1
246,BET,Bethel,AK,367.21,367.21,2020,1
247,PSM,Portsmouth,NH,217.79,217.79,2020,1
248,HHH,Hilton Head,SC,431.32,431.32,2020,1
249,YKM,Yakima,WA,412.67,412.67,2020,1
250,SUN,Sun Valley/Hailey/Ketchum,ID,473.48,473.48,2020,1
251,PUW,Pullman,WA,372.30,372.30,2020,1
252,SJT,San Angelo,TX,534.17,534.17,2020,1
253,SBY,Salisbury,MD,469.52,469.52,2020,1
254,EAT,Wenatchee,WA,377.02,377.02,2020,1
255,LCH,Lake Charles,LA,515.36,515.36,2020,1
256,TYR,Tyler,TX,502.12,502.12,2020,1
257,ACK,Nantucket,MA,528.65,528.65,2020,1
258,ACT,Waco,TX,589.76,589.76,2020,1
259,SIT,Sitka,AK,410.22,410.22,2020,1
260,MQT,Marquette,MI,536.17,536.17,2020,1
261,ROW,Roswell,NM,461.26,461.26,2020,1
262,PIH,Pocatello,ID,586.88,586.88,2020,1
263,PGV,Greenville,NC,401.67,401.67,2020,1
264,SCC,Deadhorse,AK,419.82,419.82,2020,1
265,ADQ,Kodiak,AK,500.26,500.26,2020,1
266,JLN,Joplin,MO,428.69,428.69,2020,1
267,RDD,Redding,CA,493.01,493.01,2020,1
268,TWF,Twin Falls,ID,609.94,609.94,2020,1
269,DHN,Dothan,AL,562.00,562.00,2020,1
270,HVN,New Haven,CT,357.09,357.09,2020,1
271,LAW,Lawton/Fort Sill,OK,467.28,467.28,2020,1
272,SUX,Sioux City,IA,441.42,441.42,2020,1
273,VLD,Valdosta,GA,592.22,592.22,2020,1
274,SPS,Wichita Falls,TX,433.59,433.59,2020,1
275,ALW,Walla Walla,WA,344.80,344.80,2020,1
276,FLO,Florence,SC,444.14,444.14,2020,1
277,GTR,Columbus,MS,567.98,567.98,2020,1
278,LWS,Lewiston,ID,588.27,588.27,2020,1
279,BGM,Binghamton,NY,481.94,481.94,2020,1
280,CKB,Clarksburg/Fairmont,WV,253.94,253.94,2020,1
281,HDN,Hayden,CO,456.86,456.86,2020,1
282,CSG,Columbus,GA,474.33,474.33,2020,1
283,TXK,Texarkana,AR,539.74,539.74,2020,1
284,SPN,Saipan,TT,383.13,383.13,2020,1
285,DBQ,Dubuque,IA,494.98,494.98,2020,1
286,OTZ,Kotzebue,AK,459.07,459.07,2020,1
287,ABY,Albany,GA,510.17,510.17,2020,1
288,OME,Nome,AK,518.02,518.02,2020,1
289,HGR,Hagerstown,MD,143.10,143.10,2020,1
290,BRW,Barrow,AK,482.67,482.67,2020,1
291,BJI,Bemidji,MN,549.18,549.18,2020,1
